,valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,Cluster
0,0.91,1977,0.5,['Idris Muhammad'],0.894,273067,0.521,0,0KdzyvsBqX1HV3uLxGm2JV,0.772,4,0.068,-7.047999999999999,1,Camby Bolongo,34,1977,0.0847,126.805,1
1,0.583,1976,0.93,['Stan Getz'],0.585,182200,0.272,0,1f4eO5waC6glPLXUhYKLm2,0.115,11,0.128,-16.692999999999998,0,Just One of Those Things,26,1976,0.0802,90.104,0
2,0.647,1994,0.157,"['Warren G', 'The Twinz']",0.878,179933,0.52,1,1X07ZfF5KQt8dyJ5kAkVAQ,0.0,7,0.173,-12.609000000000002,1,Recognize,38,1994-06-07,0.403,90.744,1
3,0.196,1957,0.937,['Red Garland Quintet'],0.463,925947,0.287,0,5wmMDeM4qvLfwqLa2cvoks,0.8370000000000001,0,0.112,-11.758,0,Soul Junction,13,1957,0.0363,186.764,2
4,0.422,1921,0.995,['Ignacio Corsini'],0.648,154240,0.0995,0,0SK1upzAP6NvIgF0uGh6z2,0.846,11,0.112,-22.429,1,Flor Marchita - Remasterizado,0,1921-03-20,0.105,71.97800000000002,2
5,0.119,2017,0.144,['PARTYNEXTDOOR'],0.424,272340,0.419,1,16aNJYinJv9AAetWD5yJen,0.0,1,0.174,-8.503,1,Freak in You,62,2017-06-02,0.054,86.5,4
6,0.265,1972,0.569,['Big Star'],0.585,58907,0.356,0,4s8oEXoqMtMLcM7JqsHVCW,3.81e-05,2,0.0848,-12.365,1,ST 100/6,23,1972,0.0352,88.758,0
7,0.0806,1951,0.977,"['Giacomo Puccini', 'Giovanni Inghilleri', 'Renata Tebaldi', ""Orchestra dell'Accademia Nazionale di Santa Cecilia"", 'Alberto Erede']",0.307,194573,0.0267,0,1LFJdyV9hCKHfCMO6Sp9wA,0.0,5,0.156,-24.962,1,Madama Butterfly / Act 2: Ora a noi. Sedete qui,0,1951-01-01,0.0802,76.89399999999998,2
8,0.618,1966,0.718,['Nancy Wilson'],0.634,130720,0.684,0,6RsJIcoNvEyMKuXqnhJ71f,0.000714,4,0.171,-5.712999999999999,0,My Babe,25,1966-01-01,0.0643,75.75,1
9,0.403,1985,0.000147,['Big Black'],0.361,149000,0.873,1,0XGcXc6VkB5dx6RNWxV0rF,0.261,1,0.308,-10.335,1,Big Money,25,1985-06-01,0.0429,177.327,4
10,0.457,2009,0.00151,['Skillet'],0.384,176707,0.909,0,7oc2wH81jpU45L5H2JnThI,0.0,11,0.331,-3.706,0,Dead Inside,48,2009-08-24,0.0568,159.999,4
11,0.8859999999999999,2006,0.588,['Kenny Vance and the Planotones'],0.715,153480,0.439,0,00Y89Ir6nXEQdKQb3GLjet,0.0,5,0.0826,-8.904,1,Sh Boom (Life Could Be A Dream),42,2006-03-05,0.037,130.481,1
12,0.191,1999,1.87e-05,['Metallica'],0.26,421467,0.943,0,1ZCj3AabIF9OtX1ZMKvhnE,0.00342,3,0.958,-4.1930000000000005,1,Wherever I May Roam - Live with the SFSO,35,1999-11-23,0.0661,136.349,4
13,0.532,1976,0.595,['Tyrone Davis'],0.528,302960,0.291,0,2SPs02zSDefyC5m5PXOgk5,0.00575,7,0.601,-15.028,1,I Got Carried Away,22,1976,0.028,86.073,0
14,0.0581,1986,0.96,"['Cocteau Twins', 'Harold Budd']",0.205,455800,0.0257,0,5K5NG7aJtMgnu0a4FNP3Yv,0.945,11,0.0936,-26.922,1,The Ghost Has No Home,34,1986-11-10,0.0395,112.679,2
15,0.691,1990,0.0798,['Brand Nubian'],0.731,303040,0.857,1,6i4Gu9ogL4kClgBzj3NZ6g,8.8e-06,9,0.0772,-13.358,1,Slow Down,49,1990-11-30,0.19,95.879,1
16,0.222,1938,0.979,"['Wolfgang Amadeus Mozart', 'Lili Kraus', 'Willy Boskovsky', 'Nikolaus Hubner']",0.279,523173,0.127,0,4BPbUQtLjiuq8sJsAA4680,0.212,3,0.151,-23.18,1,"Trio No. 3 in B-Flat Major, K. 502: II. Larghetto",0,1938,0.034,83.789,2
17,0.78,1992,0.7,"['Chalino Sanchez', 'Los Amables Del Norte']",0.488,212544,0.534,0,7rd82DIvm0g5fviPOQLCIB,0.00024,7,0.0313,-6.879,1,Me Persigue Tu Sombra,46,1992-01-01,0.124,181.30900000000003,0
18,0.966,2012,0.551,['Los Rehenes'],0.738,192000,0.441,0,7lbUjUWKj7X9ihNLTyfdBP,0.0,11,0.101,-7.069,1,El Bastardo,50,2012,0.074,182.617,1
19,0.865,1966,0.175,['The Kinks'],0.603,132280,0.627,0,1y0o9nvT3hytrBTZldfqPq,0.0,2,0.134,-6.65,1,Dandy - Mono Mix,33,1966-10-28,0.0274,92.092,1
20,0.252,1982,0.8740000000000001,['Simon & Garfunkel'],0.26,231560,0.109,0,4e41Kd7WsZ0CfomJihS3GE,0.000257,2,0.745,-21.998,1,"Scarborough Fair - Live at Central Park, New York, NY - September 19, 1981",45,1982-02-16,0.0368,112.751,2
21,0.821,1958,0.622,['Cannonball Adderley'],0.477,280440,0.489,0,5L8QJVWnRtbvCisADn8hio,0.0334,7,0.0996,-12.46,0,Our Delight,8,1958-02-04,0.0539,142.477,0
22,0.4,1956,0.9,"['Antônio Carlos Jobim', 'Roberto Paiva']",0.541,128053,0.501,0,3Sbd2TsEkiMljik57jipK2,1.46e-05,9,0.14,-8.568,0,Lamento No Morro,22,1956-01-01,0.052,105.565,0
23,0.4970000000000001,2019,0.664,"['Dan + Shay', 'Tori Kelly']",0.562,208960,0.383,0,7nsOsdlqa9Srr1LBYyd9pC,0.0,6,0.259,-6.063,1,Speechless (feat. Tori Kelly),62,2019-06-07,0.0337,135.15,0
24,0.708,1965,0.633,['The Sonics'],0.578,128840,0.963,0,5aUMz88bQDj3iq9pvg9Ojy,0.0,9,0.312,-5.424,0,Good Golly Miss Molly,20,1965,0.0865,88.24,1
25,0.203,1975,0.889,"['Johann Pachelbel', 'English Chamber Orchestra', 'Raymond Leppard']",0.232,385000,0.119,0,17sG8zyElel8hXJrbIB6SE,0.758,2,0.197,-20.666,1,"Canon and Gigue in D Major, P. 37: Canon",29,1975,0.0363,89.038,2
26,0.402,1996,0.0281,['Sneaker Pimps'],0.5870000000000001,228840,0.687,0,7KvSuH86lIT2aTl9PBCAfd,0.14,1,0.121,-8.635,0,6 Underground,51,1996-08-18,0.0509,169.938,4
27,0.884,1969,0.578,['Jerry Lee Lewis'],0.481,110000,0.66,0,1pJwMlTh6torJVXWl4YPnk,0.0,5,0.199,-7.1229999999999976,1,Save the Last Dance For Me,35,1969-01-01,0.0369,162.093,1
28,0.701,2008,0.158,['Lykke Li'],0.8190000000000001,273427,0.736,0,0Ps4Eh6SQjeLnubbCsQTDD,0.00161,7,0.109,-6.504,1,Little Bit,56,2008-06-02,0.0416,120.318,1
29,0.5760000000000001,1989,0.00356,['The Offspring'],0.325,172040,0.87,0,1ejPkf1UqU2jGgivZLGj6u,0.00391,9,0.175,-6.979,0,Beheaded,34,1989-06-15,0.0533,148.17700000000005,4
30,0.311,1987,0.0349,['U2'],0.371,351565,0.773,0,7oxLbNqm9xz5fUyCJXjgbn,0.0428,8,0.98,-9.452,1,“40” - Live,37,1987-03-03,0.0412,145.222,4
31,0.76,1960,0.498,['Michelino e il suo complesso'],0.8959999999999999,156173,0.546,0,0PZIYTYPA7UnCYAIP03cMR,3.42e-06,1,0.114,-9.949,1,Cha cha cha de las segretarias - Remastered,24,1960-03-08,0.067,114.091,1
32,0.841,1959,0.7390000000000001,"['La Sonora Matancera', 'Celia Cruz']",0.589,183827,0.747,0,6QX6sNhLiptL1o5q55OXzW,0.0349,10,0.301,-5.847,1,"Cao, Cao, Maní Picao",38,1959-01-01,0.176,91.159,1
33,0.718,1983,0.107,['Duran Duran'],0.626,396720,0.905,0,3H7scEmUzArXtHFFuGlPZC,1.56e-05,9,0.407,-6.477,0,The Reflex - Dance Mix; 2010 Remaster,31,1983-11-21,0.0988,126.613,4
34,0.453,2003,0.0693,['Dave Matthews'],0.522,273653,0.8220000000000001,0,0VEoT19OOKKJVJhjxk6V6H,0.0,9,0.289,-6.103,1,So Damn Lucky,41,2003-09-22,0.0258,130.27700000000002,4
35,0.916,1963,0.185,['The Beach Boys'],0.56,169307,0.662,0,13ULqpWZmOzAr9VBFa2pYC,7.53e-05,4,0.0785,-9.471,1,Car Crazy Cutie (Stereo),15,1963-10-07,0.0493,129.072,1
36,0.674,1982,0.000458,['XTC'],0.5820000000000001,272533,0.7440000000000001,0,0KlWpxzYGq2sjVmwPHprxM,0.00132,7,0.0405,-9.155,1,Ball And Chain - 2001 Remaster,27,1982-02-12,0.0336,133.344,1
37,0.674,1931,0.584,['Zofia Dromlewiczowa'],0.72,150500,0.265,0,3hVE9lwgzuXbfvRcKrO6qY,0.0,9,0.122,-21.97,0,Chapter 1.16 - Dziewczynka z Luna Parku: Część 1,0,1931,0.955,97.555,3
38,0.757,1974,0.335,['Barry White'],0.7440000000000001,201213,0.8190000000000001,0,2ovt4Q16wf4Esgem3L55yk,1.15e-05,5,0.266,-6.385,1,"Can't Get Enough Of Your Love, Babe",26,1974-07-25,0.0734,110.963,1
39,0.0493,1950,0.871,"['Leonard Bernstein', 'Columbia Wind Ensemble', 'Nancy Williams']",0.18,441867,0.119,0,02ehlCM8rCY3HsjKwyilfF,0.00374,4,0.351,-18.713,0,Trouble In Tahiti: I Was Standing in a Garden,0,1950,0.0449,170.255,2
40,0.8290000000000001,1959,0.878,['Marty Robbins'],0.809,100360,0.5770000000000001,0,66RbVtQkNBFb7BcebSkeAT,0.0,7,0.392,-7.749,1,A Hundred And Sixty Acres,46,1959,0.0423,121.05,0
41,0.54,1948,0.836,['Los Panchos'],0.7040000000000001,184240,0.335,0,0FPQP6sQWsRnOs4Pb4pMzo,3.22e-06,1,0.138,-13.162,1,Mi Último Fracaso,5,1948,0.0728,99.495,0
42,0.337,1951,0.965,"['Ray Noble', 'Mario Lanza', 'Ray Sinatra']",0.324,144040,0.309,0,04rAMBWZPAQNBGgFOOlVLP,0.0,0,0.647,-10.049,1,Love Is The Sweetest Thing,0,1951,0.0276,88.13,2
43,0.779,2014,0.207,['Dan + Shay'],0.5429999999999999,183280,0.851,0,4w9LtJn74XQhsHD1zAHnzY,0.0,11,0.0655,-4.197,1,Show You Off,55,2014-04-01,0.0381,166.054,1
44,0.512,1951,0.993,"['Amirbai Karnataki', 'Mohammed Rafi']",0.527,208613,0.0955,0,0iWwDuyFpXxZEKVI7mOOdX,0.103,8,0.415,-16.624000000000002,0,Ansoo Thi Meri Zindagi,0,1951-12-31,0.0337,71.917,0
45,0.762,1943,0.995,['Bhanumathi Ramakrishna'],0.482,155827,0.302,0,0IjGqq7KfQu2cZIPxERlws,0.8440000000000001,8,0.104,-15.345999999999998,0,Oogave Oogave Uyyala,0,1943-12-31,0.0705,128.343,0
46,0.693,1968,0.6629999999999999,['Duke Pearson'],0.4920000000000001,619200,0.49,0,43gn9AXGDIIrUr1MbaYPWJ,0.616,2,0.08,-13.378,1,The Phantom,23,1968-01-01,0.0359,85.197,0
47,0.255,1993,0.000824,['Butthole Surfers'],0.306,249000,0.889,0,6DVNQXL9LRzKq8zjyFEuTC,0.0121,6,0.271,-8.691,0,Who Was In My Room Last Night?,54,1993-01-01,0.117,182.054,4
48,0.889,1972,0.0639,['The Rolling Stones'],0.485,271933,0.943,1,1m8cwYJxSWNGxscZQOzQ7F,0.179,4,0.144,-4.423,1,Rocks Off,37,1972-05-12,0.0416,141.982,1
49,0.3229999999999999,1979,0.239,"['Neil Young', 'Crazy Horse']",0.339,291601,0.95,0,4QEGY6wW9sLFQKA45hHBM2,0.0007,2,0.97,-8.323,1,Sedan Delivery - Live; 2016 Remaster,26,1979-11-14,0.0649,109.583,4
50,0.205,1991,0.982,"['Wolfgang Amadeus Mozart', 'Cecilia Bartoli', 'Vienna Chamber Orchestra', 'György Fischer']",0.358,170000,0.0851,0,3eLZsE8bLki3oqbFiuWZ7V,0.000367,10,0.112,-19.924,1,"Le nozze di Figaro, K.492 - Original version, Vienna 1786 / Act 2: ""Voi che sapete""",40,1991-01-01,0.0532,118.578,2
51,0.5429999999999999,1952,0.959,['Billie Holiday'],0.505,174333,0.281,0,6G48GrqVR0ySo7F0BdUJ9u,0.078,7,0.0901,-10.59,1,I Only Have Eyes For You,11,1952,0.058,151.562,0
52,0.684,1987,0.0176,['The Cars'],0.608,294293,0.6679999999999999,0,6uY7jsXMF9gCT6KFlaUm0f,0.000133,4,0.147,-11.265,0,Everything You Say,30,1987,0.0283,116.038,1
53,0.439,1977,0.5660000000000001,['RAMP'],0.64,223960,0.511,0,4BDIh3R6eSK6BqSx8n3Tfc,0.00252,6,0.178,-14.169,0,Everybody Loves The Sunshine,33,1977,0.0368,137.845,0
54,0.772,1960,0.602,['John Lee Hooker'],0.711,134174,0.334,0,2OigRCY3ff6sAmQRrJwMGC,0.00135,5,0.346,-14.638,0,I Wanna Walk,14,1960-01-01,0.0499,107.863,0
55,0.277,2012,0.000323,['We Came As Romans'],0.542,183480,0.943,0,4rIoGk5qkn0yRDshvHVyjb,6.65e-06,7,0.0926,-4.168,0,Glad You Came,58,2012-11-06,0.0733,129.996,4
56,0.588,1947,0.995,"['Ludwig van Beethoven', 'Rudolf Serkin']",0.418,80613,0.0992,0,1ynlXnLDRIkAdqPCLnYBDo,0.936,0,0.171,-23.65,1,"Variations on a Waltz by Diabelli, Op. 120: Variation 3: L’istesso tempo",0,1947,0.039,136.731,2
57,0.336,1950,0.992,['Αντώνης Διαμαντίδης'],0.419,195001,0.265,0,1NeKXpvYHtLlTFy5vznfgE,0.114,9,0.191,-8.521,1,Ο γέρο Νότης,0,1950-01-01,0.0546,97.771,2
58,0.401,1952,0.843,['Charlie Chaplin'],0.701,81815,0.308,0,0PqmXTdwk3tVRfNjPhu8Vr,0.0,2,0.498,-20.811,1,Calvero's Lesson for Life,0,1952,0.941,107.023,3
59,0.8959999999999999,1978,0.214,['Vicente Fernández'],0.8079999999999999,144973,0.539,0,7AwZAlZqOgYbmg9KoHFFi8,0.000104,9,0.0869,-5.686,1,No Me Se Rajar,56,1978,0.0457,117.643,1
60,0.459,2009,0.000772,['Papa Roach'],0.525,191760,0.944,1,2pWhizMrzd6cdbWqKsOCPQ,1.84e-06,4,0.101,-3.997,0,I Almost Told You That I Loved You,46,2009-01-01,0.0353,93.039,4
61,0.637,2019,0.385,['Logic'],0.8059999999999999,283867,0.7559999999999999,1,6yIGZp1AaFBoDczu3b4hVU,0.0,7,0.11,-4.093,0,Confessions of a Dangerous Mind,63,2019-05-10,0.208,141.97,1
62,0.491,1956,0.89,['Horace Silver'],0.583,442720,0.333,0,6buMvvO6UEqdzBPKz9CYgc,0.229,2,0.127,-11.626,0,I'll Know,12,1956,0.037,131.292,0
63,0.506,1956,0.851,"['Judy Holliday', 'Sydney Chaplin', 'Bells Are Ringing Ensemble']",0.507,222267,0.143,0,3mLfWjVdwnSgSEokOnmQzV,3.23e-06,7,0.0686,-16.662,0,Just in Time,9,1956,0.0545,121.801,0
64,0.141,2000,0.097,['Modest Mouse'],0.472,390427,0.5710000000000001,0,7JVJnw38D5TblpI25uwwUm,0.118,11,0.35,-7.7879999999999985,0,Life Like Weeds,37,2000-06-13,0.026,129.015,4
65,0.128,1995,0.964,['Secret Garden'],0.223,206133,0.198,0,6xMatwWPx2Xot79SDL3oIH,0.451,3,0.11,-14.226,1,Papillon,41,1995-01-01,0.042,76.712,2
66,0.669,1994,0.00637,['Nine Inch Nails'],0.546,331560,0.956,0,2Ci4G7UQsI3CzhZTgF6jYF,0.00162,0,0.268,-8.299,1,The Becoming,40,1994-03-08,0.0387,149.862,4
67,0.978,1997,0.249,['Parokya Ni Edgar'],0.512,223707,0.745,0,4NakwUkSQRKti613z9h8pS,0.000134,7,0.168,-9.236,1,Silvertoes,50,1997,0.0412,157.739,1
68,0.737,1993,0.0222,['Haddaway'],0.6829999999999999,270373,0.772,0,2IHaGyfxNoFPLJnaEg4GTs,0.0149,7,0.203,-7.907,0,"What Is Love - 7"" Mix",67,1993-09-13,0.0311,123.871,1
69,0.713,1965,0.826,['Connie Smith'],0.363,147093,0.517,0,22qFMujgBNkJQLIcGjH3WA,0.0,0,0.0878,-8.532,1,Then and Only Then,19,1965,0.032,66.695,0
70,0.677,2015,0.000303,['Smallpools'],0.416,222760,0.8490000000000001,0,0qnOjNW04qpcgXqD9dwru2,4.23e-05,8,0.185,-3.833,1,Killer Whales,52,2015-03-24,0.0503,144.844,4
71,0.84,2012,0.139,['El Komander'],0.792,183798,0.65,0,0l0DpvZQgeOfBcwRno8qBI,4.25e-06,8,0.12,-6.0760000000000005,1,Cuernito Armani,56,2012,0.051,114.816,1
72,0.457,1926,0.522,"['Georgette Heyer', 'Irina Salkow']",0.6729999999999999,136661,0.186,0,10NokhLWqxzi6Qg10vcGQ5,0.0,0,0.301,-23.31900000000001,1,Kapitel 43 - Der Page und die Herzogin,2,1926,0.96,79.702,3
73,0.802,1958,0.994,['Woody Guthrie'],0.6679999999999999,221733,0.0603,0,36UhH3uUfdIopqKbd2tjna,0.000601,2,0.101,-21.339,1,Jiggy jiggy bum,5,1958,0.0888,125.19,0
74,0.6659999999999999,1947,0.993,"['Frédéric Chopin', 'Robert Casadesus']",0.29,81560,0.0662,0,5uLh5jeKGWloV0qP3alRtF,0.904,10,0.103,-30.556,0,"Piano Sonata No. 2 in B-Flat Minor, Op. 35 ""Funeral March"": IV. Presto",0,1947,0.041,117.465,2
75,0.254,1926,0.154,['Эрнест Хемингуэй'],0.7040000000000001,95091,0.299,1,6Sza4f5kWjsfIAxzThgPRa,0.0,7,0.493,-16.247,0,Часть 65.4 & Часть 66.1 - Фиеста,0,1926,0.933,131.19,3
76,0.74,2006,0.119,"['Yo Gotti', 'Bun B', '8Ball']",0.915,296387,0.7390000000000001,1,0LE2KXLxG9uEM6aP2jRQzb,0.0,11,0.0832,-5.309,0,Gangsta Party,39,2006-05-23,0.195,136.02200000000002,1
77,0.468,1996,0.931,['Chet Atkins'],0.6459999999999999,137000,0.368,0,0NzSlcBUNgYkhbaL20cljR,0.629,2,0.0943,-12.803,1,Mister Sandman,45,1996-06-17,0.0497,111.719,0
78,0.611,1945,0.166,['Эрих Мария Ремарк'],0.642,102049,0.171,1,3t4dLWhNwGWIQsL01fdo6x,5.69e-05,1,0.174,-20.693,1,Часть 228.3 & Часть 229.1 - Триумфальная арка,0,1945,0.955,160.222,3
79,0.726,2015,0.263,['MARINA'],0.614,331324,0.812,0,6fk13PEdduHc2HG6JX6imT,1.14e-05,7,0.102,-5.849,0,Froot,50,2015-03-16,0.0416,120.019,1
80,0.133,2018,0.0017,"['Suncatcher', 'Mihai M', 'Starshifters']",0.454,240005,0.8640000000000001,0,010BJZhF4lCXWUI168YwOK,0.952,3,0.317,-8.222999999999999,0,Phobia,0,2018-09-28,0.0903,135.92,4
81,0.888,2014,0.217,['David Nail'],0.527,236800,0.723,0,4PJXT82AZtlDW4Q71b43oz,0.0,1,0.037,-6.134,1,Whatever She's Got,64,2014-01-01,0.0411,160.465,1
82,0.452,1983,0.0181,['Suicidal Tendencies'],0.467,188133,0.885,0,2zeAo1ddhjm1TioD77dDSV,0.0,9,0.364,-8.226,0,Subliminal,53,1983,0.0446,94.397,4
83,0.935,1978,0.361,['Steve Martin and The Toot Uncommons'],0.67,130253,0.698,0,0MOwFENfV5Q94mUU3F4Nk5,0.0,9,0.459,-13.009,1,King Tut - 45 Version,44,1978-04-28,0.136,125.144,1
84,0.428,1930,0.988,['Αντώνης Διαμαντίδης'],0.481,188693,0.243,0,1UXdWzaZM0N1bA0WTpCuS0,0.274,11,0.0973,-10.211,1,Σήκω Διαμάντω,0,1930-01-01,0.0673,106.826,0
85,0.732,1952,0.7859999999999999,['Tarun Banerjee'],0.612,212653,0.525,0,0ikXAEx1W189VeeIfbdr5O,0.0,10,0.102,-11.215,0,Alta Payer Alto Chhonwa Porechhe,0,1952-12-01,0.0339,112.055,0
86,0.519,1990,0.135,['Wink'],0.637,220867,0.934,0,4TgkPULl2POFQoGOGZ2KgX,2.27e-05,4,0.266,-6.3,0,Sexy Music [Bonus Track] (Remastered 2013),35,1990-07-11,0.0559,125.018,4
87,0.182,1989,0.5710000000000001,['The Cure'],0.665,393093,0.6890000000000001,0,3KwSkeKjuTRSwcN5cGp2ym,0.0909,7,0.0868,-9.057,1,Untitled - 2010 Remaster,34,1989-05-02,0.0316,95.048,1
88,0.784,1972,0.0384,"['Hank Williams, Jr.']",0.595,219627,0.4,0,1lNYZy4TW33jJF96kLAric,0.000331,0,0.267,-14.842,1,Man Of Steel,22,1972,0.0277,81.711,1
89,0.344,1996,0.0537,['Firehouse'],0.519,261827,0.517,0,4vHp893kV7HksfB5FN1Nk5,0.0,1,0.0928,-7.5310000000000015,1,I Live My Life for You,51,1996-10-08,0.0286,141.808,4
90,0.71,1992,0.0204,['Aphex Twin'],0.654,329267,0.371,0,54avYgPIdqFI59mW91E0Sf,0.923,10,0.101,-15.098,0,Delphium,39,1992-02-10,0.0907,118.61,1
91,0.482,2004,0.000739,['Breaking Benjamin'],0.645,198480,0.897,0,3lMiBDoKSRJfSrP6mLqGut,0.0659,9,0.0761,-3.834,1,Believe,41,2004-01-01,0.142,105.99,1
92,0.94,2007,0.486,['La Arrolladora Banda El Limón De Rene Camacho'],0.738,197307,0.4970000000000001,0,6orluAPC6hUu3BVZVuZjOu,0.0,10,0.258,-8.149,1,Al Final De Nuestra Historia,52,2007-10-23,0.0343,114.981,1
93,0.502,1987,0.111,['Mötley Crüe'],0.622,86173,0.659,0,3eJOBeXl5bla1zgnthRy7E,0.0,0,0.218,-8.818999999999997,1,Nona,35,1987,0.0305,124.789,1
94,0.64,1971,0.62,['Marvin Gaye'],0.376,187733,0.593,0,3uvbzsaidQWwhscQAoiFdn,0.706,6,0.177,-13.026,0,Mercy Mercy Me (The Ecology) - Detroit MIx,29,1971-05-21,0.0378,93.821,2
95,0.509,1944,0.97,['M. K. Thyagaraja Bhagavathar'],0.4970000000000001,105800,0.273,0,3NLciNY2hOIxjlDW4kmjJE,0.0708,7,0.204,-7.6789999999999985,1,Maamuni Naadha,0,1944-12-01,0.0547,73.13,0
96,0.736,1945,0.951,"['Woody Herman And His Woodchoppers', 'Red Norvo']",0.7759999999999999,172000,0.253,0,2993sRdYC9vhMpoak1sj1X,0.25,5,0.284,-16.224,0,Lost Week-End - 78rpm Version,2,1945,0.0894,130.811,0
97,0.928,1994,0.455,['Los Tigres Del Norte'],0.578,206600,0.325,0,3X5whob19D1tXZlpHGFLFt,0.0,0,0.415,-10.65,1,Agua Salada,48,1994-01-01,0.0275,95.94,0
98,0.66,1965,0.6709999999999999,['The Byrds'],0.635,156067,0.583,0,07gsAWyHNZA4pUpJGDIqOj,6.21e-05,2,0.431,-10.629,1,Here Without You,29,1965-06-21,0.0273,119.636,0
99,0.233,2012,0.0173,['Taylor Swift'],0.5670000000000001,242573,0.481,0,5VwFkx7JOimOGTYfha5rs1,4.13e-05,4,0.182,-7.357,1,I Almost Do,48,2012-10-22,0.027,145.865,4
100,0.342,1971,0.912,['Bread'],0.388,155773,0.176,0,40W8Mm9t3ZO1iNQlls35lL,0.000336,9,0.0977,-16.952,1,If,61,1971,0.0299,97.628,2
101,0.415,1975,0.115,['Elton John'],0.701,222093,0.895,0,2u3UJ9KyduTnbi9yUVGYfW,1.34e-06,10,0.257,-8.488999999999999,1,Island Girl,40,1975-10-24,0.0616,139.915,4
102,0.249,2015,0.767,['Manuel Medrano'],0.616,225839,0.454,0,5QSYWruQQ7kBCHScI4xJ9g,3.48e-05,4,0.105,-8.504,1,Bajo El Agua,74,2015-10-30,0.0273,99.998,0
103,0.247,1977,0.0146,['AC/DC'],0.401,369053,0.723,0,7EIPa69XVt6wTdLRkXklXq,0.209,9,0.1669999999999999,-4.348,1,Overdose,43,1977-03-21,0.0552,127.781,4
104,0.417,1977,0.546,"['Crosby, Stills, Nash & Young']",0.504,218093,0.292,0,2y8b7VeYpEurDRyUNHeo6s,7.77e-05,2,0.263,-13.175999999999998,1,Helpless - 2017 Remaster,33,1977,0.0328,116.012,0
105,0.575,1944,0.995,['Amirbai Karnataki'],0.45,190667,0.276,0,4ON527Ua0SBQHUOs87d3kY,0.923,4,0.617,-13.134,1,Mora Dheere Se Ghoonghat,0,1944-12-31,0.0596,133.282,2
106,0.7829999999999999,2005,0.422,['The Partridge Family'],0.4320000000000001,173400,0.471,0,2hb6LFp0TwBjkhf37od4G3,0.0,3,0.141,-12.26,1,I Think I Love You,44,2005-05-03,0.0473,203.27,4
107,0.471,2011,0.0242,['Dance Gavin Dance'],0.286,280680,0.923,0,1hImJ5o3WFH6Nb73oQ8bfY,0.0,11,0.136,-3.611,0,Blue Dream,48,2011-03-08,0.127,100.79,4
108,0.905,1973,0.77,['Looking Glass'],0.608,218027,0.604,0,3WknsOoTmbQFbxqjn7uZo8,0.000158,4,0.41,-9.784,0,Jimmy Loves Mary-Anne,32,1973,0.0338,136.018,0
109,0.0472,1977,0.975,"['Cluster', 'Eno']",0.226,304307,0.0779,0,1Zpx5qwrsyXz5vlsLurHQN,0.8420000000000001,9,0.0828,-23.638,0,Wehrmut,28,1977,0.0394,68.602,2
